profile_type,about,name,location,employee_no,ipo_status,website,total_funding_amt,no_investors,industries,hqs,founded_date,operating_status,last_funding_types,company_types,no_funding_rounds,active_tech_count,rank,founders,no_lead_investors
ORGANIZATION,"['Beijing Duomei Shijie Zhineng Keji Co., Ltd. specializes in R&D and operation of medical health consulting robots.']",beijing-duomei-shijie-zhineng-keji-co-ltd,"Beijing, Beijing, China",51-100,Private,www.jiankangliao.com,CN¥3M,3,"['Health Care', 'Medical', 'Robotics']",['Asia-Pacific (APAC)'],"['Aug 3, 2010']",['Active'],['Angel'],['For Profit'],1,3,0,,
ORGANIZATION,"['Gerosion provides consultation, material testing and specialized R&D work for entities in the geothermal and petroleum industry.', 'selection for harsh and corrosive environments. Moreover, Gerosion provides all kind of material science testing for various industries, including energy intensive industry and stonewool-, cement- and steel production companies.\nGerosion offers testing services, specifically for cementitous materials and steel. Examples of equipment and tests that are available are tensile testing machine, in-situ geothermal environment testing, Secondary Electron Microscope and X-ray Energy Spectroscopy Equipment for microstructural and chemical composition analysis. Other equipment are e.g. mechanical testing machine for tensile, compressive and flexural testing, grinding equipment and particle distribution analyser.']",gerosion,"Reykjavík, Gullbringusysla, Iceland",1-10,Private,gerosion.com,ISK28.8M,1,"['Consulting', 'Energy', 'Manufacturing', 'Oil and Gas', 'Renewable Energy', 'Test and Measurement']","['Nordic Countries, Scandinavia']",['2014'],['Active'],['Grant'],['For Profit'],2,,1,"['Kolbrún Ragna Ragnarsdóttir, Sigrún Nanna Karlsdóttir, Sunna Ólafsdóttir Wallevik']",1
