,CrunchBase Ranking,Company Name/Organisation Name,Acquired by,About,Location,Number of Employees,Industry,IPO Status,Website,Founded Date,Headquarters,Founders,Operating Status,Hub Tags,Last Funding Type,Company Type,Investor Type,Investment Stage,Number of Investors,Number Funding Rounds,Total Funding Amount,Number of exits,Number of Lead Investors,Number of Acquisitions,Number of Current Team Members (core team),Number of Board Members/Advisors,Total Products Active,Product Downloads in the Last 30 Days,Active Tech Count,Monthly Visits,Monthly Visits Growth,Number of Articles,Number of Events,Number of Funds,Number of Investments,Number of Diversity Investments,Number of Exits,Related Hubs,Stock Symbol,IPO Date,Number of Sub,Organisations,Funding Rounds,Funds Raised (for VC),Number of Lead Investments
0,1,softbank,NA,"['SoftBank provides fixed-line, mobile telephony, internet, telecommunications, and digital television products.', 'through four major segments.\nThe mobile communications segment provides mobile communications services; produces and distributes online games for smartphones and other devices; offers mobile broadband services; provides supply chain solutions, handset protection, and insurance, buy-back and trade-in services, omni-channel solutions, and financial services; and sells mobile devices such as iPhones, iPads, and SoftBank smartphones. The sprint segment offers mobile and fixed-line voice and data transmission services for individual consumers, businesses, government subscribers, and resellers in Puerto Rico and the U.S., and sells mobile devices and accessories. The fixed-line telecommunications segment offers telecom services such as fixed-line telephone and data communications services to corporate customers; and broadband services to individual customers. The internet segment is engaged in the operation of the Yahoo! JAPAN portal; sale of internet advertising; operation of e-commerce sites; provision of membership services; sale and marketing of data centers; provision of online automobile-related information; and operation of the internet affiliate system.\nSoftBank also generates and sells electricity from renewable energy sources; provides payment processing, invoice collections, and computation services for businesses; distributes video, voice, and data content via media; operates IT information site ITmedia; provides solutions and services for online businesses, and operates online games and software downloads. Additionally, it is involved in the ownership of professional baseball team; operation of baseball games; management and maintenance of baseball stadium and other sports facilities; and procurement of funds by issuing preferred securities.\nSoftBank was established by Masayoshi Son in 1981 and is headquartered in Tokyo, Japan.']","Tokyo, Tokyo, Japan",10001+,"['Banking', 'Finance', 'Internet', 'Mobile', 'Telecommunications']",NA,global.softbank,"['Sep 3, 1981']",['Asia-Pacific (APAC)'],"['Masayoshi Son, Oketani Taku']",['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,1,1,$1B,53,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,247,24,53,NA,['TYO:9984'],NA,NA,NA,NA,NA,NA
1,2,compassinc,NA,"['Compass is a real estate technology company that provides an online platform for buying, renting, and selling real estate assets.', 'Washington D.C., South Florida, The Hamptons, Santa Barbara & Montecito, San Diego, Seattle & Eastside, Philadelphia, Connecticut, Westchester, Aspen, Boulder, Denver, Atlanta, Austin & Central Texas, Dallas-Fort Worth, Houston, Nashville, and Lake Tahoe.']","New York, New York, United States",10001+,"['Marketplace', 'Property Management', 'Real Estate', 'Residential']",Private,www.compass.com,"['Oct 4, 2012']","['Greater New York Area, East Coast, Northeastern US']","['Ori Allon, Robert Reffkin, Ugo Di Girolamo']",['Active'],NA,['Series G'],['For Profit'],NA,NA,32,10,$1.5B,NA,5,12,35,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,crowdcube,NA,"['Crowdcube is an equity crowdfunding platform for entrepreneurs of start-ups and growing businesses.', 'Crowdcube is an equity crowdfunding platform for entrepreneurs of start-ups and growing businesses. Crowdcube enables individuals to invest or loan in small companies in return for equity or an annual return.\nAs an investment crowdfunding platform, Crowdcube enables entrepreneurs to raise finance with the added benefit of being backed by the', 'crowd. For investors, Crowdcube provides a way to handpick a stake in an innovative business that traditionally would have been restricted to corporate investors.\nSince Crowdcube first pioneered equity crowdfunding in 2011, a total of £300m has been invested through the platform from a crowd of over 390,000 investors, with more than £230m successfully invested in 520 raises. Businesses like the challenger bank Monzo, which raised £1 million in a record-breaking 96 seconds, as well as household brand names such as River Cottage and the Eden Project along with venture capital-backed businesses such as JustPark, eMoov and Sugru have all successfully raised growth funding from the crowd.']","Exeter, Devon, United Kingdom",51-100,"['Business Development', 'Finance', 'Financial Services', 'FinTech', 'Funding Platform', 'Venture Capital']",NA,www.crowdcube.com/,"['Aug 1, 2010']",NA,"['Darren Westlake, Luke Lang, Mac Parish, Oriol Cordón, Pepe Borrell']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,NA,NA,£30.7M,28,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"1,208",16,28,NA,NA,NA,NA,NA,NA,NA,NA
3,4,zoom-video-communications,NA,"['Zoom is a software company that offers a communications platform that connects people through video, voice, chat, and content sharing.', 'Zoom is a software company that offers a communications platform that connects people through video, voice, chat, and content sharing. It has an easy, reliable cloud platform for video and audio conferencing, collaboration, chat, and webinars across mobile devices, desktops, telephones, and room systems.\nZoom unifies cloud video conferencing,', ""simple online meetings, and group messaging into one easy-to-use platform. The company's mission is to create a people-centric cloud service that transforms the real-time collaboration experience and improves the quality and effectiveness of communications.\nZoom was founded in 2011 and is headquartered in San Jose, California, United States.""]","San Jose, California, United States",1001-5000,"['Collaboration', 'Information Technology', 'Messaging', 'Video Conferencing']",Public,zoom.us,['2011'],"['San Francisco Bay Area, Silicon Valley, West Coast']",['Eric Yuan'],['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,18,7,$146M,NA,4,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5,ant-group,NA,"['Ant Group strives to enable all consumers and small businesses to have equal access to financial and other services through technology.', 'Ant Group aims to create the infrastructure and platform to support the digital transformation of the service industry. They strive to enable all consumers and small businesses to have equal access to financial and other services that are inclusive, green, and sustainable.\nFormally established in October 2014, Ant Group’s origins date to 2004 when', 'Alipay was created in the nascent days of e-commerce to solve the trust issue between buyers and sellers in online transactions. Their innovative payment solution bridged the trust gap, facilitated online transactions, and underpinned the development of e-commerce in China.\nHaving pioneered digital payments in China, Ant Group has since expanded its service offerings through technology and innovation to enable digital finance for consumers and businesses.\nTheir technology enables participants in commercial activities, including consumers, businesses, and partners, to build and strengthen trust among each other. They believe their new technologies, including their blockchain solution that they call AntChain, will continue to strengthen the foundation of trust in this digital era.']","Hangzhou, Zhejiang, China",5001-10000,"['Banking', 'E-Commerce', 'Financial Services', 'FinTech', 'Internet', 'Payments', 'Wealth Management']",Private,www.antgroup.com/,['Oct 2014'],['Asia-Pacific (APAC)'],['Lucy Peng'],['Active'],NA,['Series C'],['For Profit'],NA,NA,15,4,$22B,12,4,5,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
5,6,calendly,NA,"['Calendly is an automated scheduling tool that takes the work out of connecting with others so that its users can accomplish more.', 'Calendly is a scheduling software that delights customers and makes life easy for business professionals.\nCalendly users sell more, sell faster, and provide high-quality service by eliminating email and phone tag for scheduling meetings and appointments. Calendly is committed to creating an elegant and frustration-free scheduling experience', 'possible, so users can save time, impress their contacts and say goodbye to busywork.']","Atlanta, Georgia, United States",101-250,"['Productivity Tools', 'Recruiting', 'Scheduling', 'Software']",Private,calendly.com,['2013'],"['Greater Atlanta Area, East Coast, Southern US']",['Tope Awotona'],['Active'],NA,['Series B'],['For Profit'],NA,NA,3,NA,$350.6M,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,intel,NA,"['Intel designs, manufactures, and sells integrated digital technology platforms worldwide.', ""Intel is building on its unrivaled history of innovation to power the future of computing and communications. Intel's ambitions? A world that runs on Intel. Intel is doing this by helping its customers find the technologies and solutions that allow them to transform their businesses and gain market advantage.\nAnd it all starts with data."", ""Intel is on a journey from a PC-centric company to a data-centric company. Intel's unmatched depth of experience and scope of vision allows it to dream big, to create a world where Intel powers the future of computing and communications—including powerful processors and accelerators that unlock the full potential of data. Intel continuously delivers advances in performance, power, and connectivity across a diversity of data-centric workloads, so its customers can harness the raw power of data.\nIntel's innovations span architecture, memory, software, and security to help develop transformative products and experiences for its customers. Collectively, Intel's 107,000 employees worldwide are enabling amazing experiences in 5G, artificial intelligence, driverless cars, and much more.""]","Santa Clara, California, United States",10001+,"['Artificial Intelligence', 'Information Technology', 'Manufacturing', 'Product Design', 'Software']",Public,www.intel.com/,"['Jul 18, 1968']","['San Francisco Bay Area, Silicon Valley, West Coast']","['Diego Prilusky, Gordon Moore, Robert Noyce, Srikanth Tirumala']",['Active'],NA,['Post-IPO Equity'],['For Profit'],NA,NA,NA,2,$12.5M,31,NA,101,618,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,31,NA,NA,NA,NA,NA,NA,NA,NA
7,8,klarna,NA,"['Klarna is an eCommerce payment solutions platform for merchants and shoppers.', 'Klarna is an eCommerce payment solutions platform for merchants and shoppers.\nThe platform gives customers the freedom to choose how and when to pay. They also offer direct payments, pay after delivery options, and installment plans. Klarna is a regulated bank known for its “buy now, pay later” model that offers shoppers interest-free financing on', 'retail purchases over a period of installments.\nKlarna was founded in 2005 in Stockholm, Sweden by Sebastian Siemiatkowski, Niklas Adalberth, and Victor Jacobsson.']","Stockholm, Stockholms Lan, Sweden",1001-5000,"['E-Commerce', 'Finance', 'Financial Services', 'FinTech', 'Payments']",Private,www.klarna.com,['Feb 2005'],"['European Union (EU), Nordic Countries, Scandinavia']","['Niklas Adalberth, Sebastian Siemiatkowski, Victor Jacobsson']",['Active'],NA,['Venture - Series Unknown'],['For Profit'],NA,NA,43,23,$3.1B,1,15,7,15,NA,32,NA,137,"18,798,543",-1.76%,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
